frameId,t,yaw,pitch,roll,isCalibrated
900,13.547570,0.159729,-0.031204,0.049474,1
901,13.562666,0.159313,-0.031743,0.049871,1
902,13.577738,0.158023,-0.031768,0.049436,1
903,13.592618,0.156999,-0.031397,0.048443,1
904,13.607910,0.156754,-0.031132,0.047489,1
905,13.622918,0.157066,-0.031391,0.046873,1
906,13.638024,0.157466,-0.032184,0.046622,1
907,13.652998,0.157704,-0.033027,0.046809,1
908,13.667901,0.157647,-0.033279,0.047547,1
909,13.683038,0.157164,-0.032501,0.048573,1
910,13.698084,0.155694,-0.030674,0.049120,1
911,13.712983,0.153189,-0.028190,0.048604,1
912,13.728131,0.150586,-0.025631,0.047646,1
913,13.743251,0.149212,-0.023428,0.047065,1
914,13.758235,0.148958,-0.021980,0.046977,1
915,13.773223,0.149150,-0.021586,0.047173,1
916,13.788528,0.149559,-0.022477,0.047546,1
917,13.803304,0.149754,-0.024087,0.047892,1
918,13.818420,0.149181,-0.025744,0.047779,1
919,13.833726,0.148220,-0.026857,0.047441,1
920,13.848583,0.147399,-0.027184,0.047391,1
921,13.863546,0.146866,-0.027050,0.047462,1
922,13.878626,0.146681,-0.026803,0.047440,1
923,13.893565,0.146841,-0.026571,0.047373,1
924,13.908651,0.146976,-0.026479,0.047213,1
925,13.923721,0.147309,-0.026454,0.046926,1
926,13.938726,0.147900,-0.026598,0.046808,1
927,13.953684,0.148393,-0.027085,0.047142,1
928,13.968751,0.148616,-0.027586,0.047676,1
929,13.983828,0.148557,-0.027851,0.047826,1
930,13.998995,0.148502,-0.027814,0.047623,1
931,14.013954,0.148731,-0.027597,0.047388,1
932,14.028976,0.148939,-0.027390,0.047299,1
933,14.044165,0.148773,-0.027335,0.047033,1
934,14.059162,0.148378,-0.027582,0.046840,1
935,14.074041,0.148453,-0.028213,0.047026,1
936,14.089320,0.148884,-0.029120,0.047535,1
937,14.104312,0.149071,-0.029915,0.048301,1
938,14.119352,0.149289,-0.030163,0.048991,1
939,14.134240,0.149453,-0.029775,0.049506,1
940,14.149405,0.149624,-0.028936,0.049677,1
941,14.164427,0.149645,-0.028014,0.049727,1
942,14.179462,0.149675,-0.027536,0.050070,1
943,14.194518,0.149972,-0.027756,0.050550,1
944,14.209680,0.150541,-0.028439,0.051050,1
945,14.224595,0.151057,-0.029093,0.051781,1
946,14.239718,0.151192,-0.029330,0.052502,1
947,14.254680,0.151117,-0.029276,0.052702,1
948,14.269794,0.151335,-0.029191,0.052472,1
949,14.284802,0.151814,-0.029108,0.052376,1
950,14.299918,0.152196,-0.029025,0.052866,1
951,14.314855,0.152581,-0.028898,0.053687,1
952,14.330000,0.153165,-0.028745,0.054547,1
953,14.344890,0.153835,-0.028700,0.055100,1
954,14.360104,0.154143,-0.028452,0.055281,1
955,14.375003,0.154382,-0.027884,0.055074,1
956,14.390335,0.154484,-0.027363,0.054604,1
957,14.405317,0.154496,-0.027258,0.054080,1
958,14.420427,0.154696,-0.027496,0.053815,1
959,14.435201,0.155095,-0.027828,0.053910,1
960,14.450375,0.155441,-0.027854,0.054122,1
961,14.465387,0.155808,-0.027529,0.054218,1
962,14.480419,0.156269,-0.027132,0.054213,1
963,14.495977,0.156748,-0.027080,0.054268,1
964,14.510489,0.157409,-0.027218,0.054447,1
965,14.525607,0.158239,-0.026957,0.054615,1
966,14.540581,0.158618,-0.026026,0.054618,1
967,14.555563,0.158318,-0.024767,0.054633,1
968,14.570739,0.158183,-0.023592,0.054768,1
969,14.585660,0.158771,-0.022737,0.054850,1
970,14.600820,0.159468,-0.022207,0.054748,1
971,14.615829,0.159793,-0.021667,0.054595,1
972,14.630942,0.159913,-0.020894,0.054687,1
973,14.645863,0.159895,-0.020172,0.055119,1
